realization,gravity,beta,f,prior,seed,beta_family,companion_family,mode,scenario,N_catalogues,difference_direction,correct_gained,correct_lost,correct_difference,wrong_gained,wrong_lost,wrong_difference,indeterminate_gained,indeterminate_lost,indeterminate_difference,true_retained_gained,true_retained_lost,true_retained_difference,baseline_double_rejected_to_correct,baseline_double_rejected_to_wrong,baseline_correct_to_both_retained
1,Newton,1.0,0.075,160,325004001,fitted_grid,outside_inner_prior,covariates_only66,clustered_correlated,1000,envelope_minus_baseline,1,3,-0.002,0,1,-0.001,4,1,0.0030000000000000027,2,0,0.0020000000000000018,1,0,3
1,Newton,1.0,0.075,160,325004001,fitted_grid,outside_inner_prior,covariates_only66,sparse_floor,1000,envelope_minus_baseline,0,16,-0.016,0,1,-0.001,17,0,0.017000000000000015,1,0,0.0010000000000000009,0,0,16
1,Newton,1.0,0.075,160,325004001,fitted_grid,outside_inner_prior,conditional66,uniform_white,1000,envelope_minus_baseline,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
1,Newton,1.0,0.075,160,325004001,fitted_grid,outside_inner_prior,conditional66,clustered_correlated,1000,envelope_minus_baseline,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
1,Newton,1.0,0.075,160,325004001,fitted_grid,outside_inner_prior,conditional66,sparse_floor,1000,envelope_minus_baseline,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
1,Newton,1.0,0.225,40,325005001,fitted_grid,fitted_prior,full66,uniform_white,1000,envelope_minus_baseline,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
1,Newton,1.0,0.225,40,325005001,fitted_grid,fitted_prior,full66,clustered_correlated,1000,envelope_minus_baseline,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
1,Newton,1.0,0.225,40,325005001,fitted_grid,fitted_prior,full66,sparse_floor,1000,envelope_minus_baseline,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
1,Newton,1.0,0.225,40,325005001,fitted_grid,fitted_prior,no_diagnostics66,uniform_white,1000,envelope_minus_baseline,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
1,Newton,1.0,0.225,40,325005001,fitted_grid,fitted_prior,no_diagnostics66,clustered_correlated,1000,envelope_minus_baseline,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
1,Newton,1.0,0.225,40,325005001,fitted_grid,fitted_prior,no_diagnostics66,sparse_floor,1000,envelope_minus_baseline,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
1,Newton,1.0,0.225,40,325005001,fitted_grid,fitted_prior,full34,uniform_white,1000,envelope_minus_baseline,0,2,-0.0020000000000000018,0,0,0.0,2,0,0.002,0,0,0.0,0,0,2
1,Newton,1.0,0.225,40,325005001,fitted_grid,fitted_prior,full34,clustered_correlated,1000,envelope_minus_baseline,0,1,-0.0010000000000000009,0,0,0.0,1,0,0.001,0,0,0.0,0,0,1
1,Newton,1.0,0.225,40,325005001,fitted_grid,fitted_prior,full34,sparse_floor,1000,envelope_minus_baseline,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
1,Newton,1.0,0.225,40,325005001,fitted_grid,fitted_prior,covariates_only66,uniform_white,1000,envelope_minus_baseline,0,1,-0.0010000000000000009,0,1,-0.001,2,0,0.0020000000000000018,1,0,0.0010000000000000009,0,0,1
1,Newton,1.0,0.225,40,325005001,fitted_grid,fitted_prior,covariates_only66,clustered_correlated,1000,envelope_minus_baseline,0,4,-0.003999999999999998,0,2,-0.002,6,0,0.006000000000000005,2,0,0.0020000000000000018,0,0,4
1,Newton,1.0,0.225,40,325005001,fitted_grid,fitted_prior,covariates_only66,sparse_floor,1000,envelope_minus_baseline,0,10,-0.01,0,2,-0.002,12,0,0.01200000000000001,2,0,0.0020000000000000018,0,0,10
1,Newton,1.0,0.225,40,325005001,fitted_grid,fitted_prior,conditional66,uniform_white,1000,envelope_minus_baseline,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
1,Newton,1.0,0.225,40,325005001,fitted_grid,fitted_prior,conditional66,clustered_correlated,1000,envelope_minus_baseline,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
1,Newton,1.0,0.225,40,325005001,fitted_grid,fitted_prior,conditional66,sparse_floor,1000,envelope_minus_baseline,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
1,Newton,1.0,0.225,80,325006001,fitted_grid,fitted_prior,full66,uniform_white,1000,envelope_minus_baseline,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
1,Newton,1.0,0.225,80,325006001,fitted_grid,fitted_prior,full66,clustered_correlated,1000,envelope_minus_baseline,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
1,Newton,1.0,0.225,80,325006001,fitted_grid,fitted_prior,full66,sparse_floor,1000,envelope_minus_baseline,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
1,Newton,1.0,0.225,80,325006001,fitted_grid,fitted_prior,no_diagnostics66,uniform_white,1000,envelope_minus_baseline,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
1,Newton,1.0,0.225,80,325006001,fitted_grid,fitted_prior,no_diagnostics66,clustered_correlated,1000,envelope_minus_baseline,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
1,Newton,1.0,0.225,80,325006001,fitted_grid,fitted_prior,no_diagnostics66,sparse_floor,1000,envelope_minus_baseline,1,0,0.0010000000000000009,0,0,0.0,0,1,-0.001,1,0,0.0010000000000000009,1,0,0
1,Newton,1.0,0.225,80,325006001,fitted_grid,fitted_prior,full34,uniform_white,1000,envelope_minus_baseline,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
1,Newton,1.0,0.225,80,325006001,fitted_grid,fitted_prior,full34,clustered_correlated,1000,envelope_minus_baseline,0,3,-0.0030000000000000027,0,0,0.0,3,0,0.003,0,0,0.0,0,0,3
1,Newton,1.0,0.225,80,325006001,fitted_grid,fitted_prior,full34,sparse_floor,1000,envelope_minus_baseline,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
1,Newton,1.0,0.225,80,325006001,fitted_grid,fitted_prior,covariates_only66,uniform_white,1000,envelope_minus_baseline,0,3,-0.002999999999999999,0,1,-0.001,4,0,0.0040000000000000036,1,0,0.0010000000000000009,0,0,3
1,Newton,1.0,0.225,80,325006001,fitted_grid,fitted_prior,covariates_only66,clustered_correlated,1000,envelope_minus_baseline,0,5,-0.005000000000000001,0,2,-0.002,7,0,0.007000000000000006,2,0,0.0020000000000000018,0,0,5
1,Newton,1.0,0.225,80,325006001,fitted_grid,fitted_prior,covariates_only66,sparse_floor,1000,envelope_minus_baseline,0,9,-0.009000000000000001,0,4,-0.004,13,0,0.013000000000000012,4,0,0.0040000000000000036,0,0,9
1,Newton,1.0,0.225,80,325006001,fitted_grid,fitted_prior,conditional66,uniform_white,1000,envelope_minus_baseline,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
1,Newton,1.0,0.225,80,325006001,fitted_grid,fitted_prior,conditional66,clustered_correlated,1000,envelope_minus_baseline,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
1,Newton,1.0,0.225,80,325006001,fitted_grid,fitted_prior,conditional66,sparse_floor,1000,envelope_minus_baseline,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
1,Newton,1.0,0.225,60,325007001,fitted_grid,outside_inner_prior,full66,uniform_white,1000,envelope_minus_baseline,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
1,Newton,1.0,0.225,60,325007001,fitted_grid,outside_inner_prior,full66,clustered_correlated,1000,envelope_minus_baseline,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
1,Newton,1.0,0.225,60,325007001,fitted_grid,outside_inner_prior,full66,sparse_floor,1000,envelope_minus_baseline,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
1,Newton,1.0,0.225,60,325007001,fitted_grid,outside_inner_prior,no_diagnostics66,uniform_white,1000,envelope_minus_baseline,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
1,Newton,1.0,0.225,60,325007001,fitted_grid,outside_inner_prior,no_diagnostics66,clustered_correlated,1000,envelope_minus_baseline,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
1,Newton,1.0,0.225,60,325007001,fitted_grid,outside_inner_prior,no_diagnostics66,sparse_floor,1000,envelope_minus_baseline,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
1,Newton,1.0,0.225,60,325007001,fitted_grid,outside_inner_prior,full34,uniform_white,1000,envelope_minus_baseline,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
1,Newton,1.0,0.225,60,325007001,fitted_grid,outside_inner_prior,full34,clustered_correlated,1000,envelope_minus_baseline,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
1,Newton,1.0,0.225,60,325007001,fitted_grid,outside_inner_prior,full34,sparse_floor,1000,envelope_minus_baseline,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
1,Newton,1.0,0.225,60,325007001,fitted_grid,outside_inner_prior,covariates_only66,uniform_white,1000,envelope_minus_baseline,0,2,-0.0020000000000000018,0,1,-0.001,3,0,0.0030000000000000027,1,0,0.0010000000000000009,0,0,2
1,Newton,1.0,0.225,60,325007001,fitted_grid,outside_inner_prior,covariates_only66,clustered_correlated,1000,envelope_minus_baseline,0,8,-0.008,0,2,-0.002,10,0,0.010000000000000009,2,0,0.0020000000000000018,0,0,8
1,Newton,1.0,0.225,60,325007001,fitted_grid,outside_inner_prior,covariates_only66,sparse_floor,1000,envelope_minus_baseline,0,10,-0.010000000000000002,0,3,-0.003,13,0,0.013000000000000012,3,0,0.0030000000000000027,0,0,10
1,Newton,1.0,0.225,60,325007001,fitted_grid,outside_inner_prior,conditional66,uniform_white,1000,envelope_minus_baseline,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
1,Newton,1.0,0.225,60,325007001,fitted_grid,outside_inner_prior,conditional66,clustered_correlated,1000,envelope_minus_baseline,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
1,Newton,1.0,0.225,60,325007001,fitted_grid,outside_inner_prior,conditional66,sparse_floor,1000,envelope_minus_baseline,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
1,Newton,1.0,0.225,160,325008001,fitted_grid,outside_inner_prior,full66,uniform_white,1000,envelope_minus_baseline,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
1,Newton,1.0,0.225,160,325008001,fitted_grid,outside_inner_prior,full66,clustered_correlated,1000,envelope_minus_baseline,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
1,Newton,1.0,0.225,160,325008001,fitted_grid,outside_inner_prior,full66,sparse_floor,1000,envelope_minus_baseline,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
1,Newton,1.0,0.225,160,325008001,fitted_grid,outside_inner_prior,no_diagnostics66,uniform_white,1000,envelope_minus_baseline,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
1,Newton,1.0,0.225,160,325008001,fitted_grid,outside_inner_prior,no_diagnostics66,clustered_correlated,1000,envelope_minus_baseline,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
1,Newton,1.0,0.225,160,325008001,fitted_grid,outside_inner_prior,no_diagnostics66,sparse_floor,1000,envelope_minus_baseline,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
1,Newton,1.0,0.225,160,325008001,fitted_grid,outside_inner_prior,full34,uniform_white,1000,envelope_minus_baseline,0,3,-0.0030000000000000027,0,0,0.0,3,0,0.002999999999999999,0,0,0.0,0,0,3
1,Newton,1.0,0.225,160,325008001,fitted_grid,outside_inner_prior,full34,clustered_correlated,1000,envelope_minus_baseline,0,2,-0.0020000000000000018,0,0,0.0,2,0,0.002,0,0,0.0,0,0,2
1,Newton,1.0,0.225,160,325008001,fitted_grid,outside_inner_prior,full34,sparse_floor,1000,envelope_minus_baseline,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
