gravity,hypothesis_index,role,realization,beta,f,eta,prior,beta_family,companion_family,local_case_index,seed,comparison_type,first_rule,first_mode,second_rule,second_mode,scenario,N_catalogues,same_decision,difference_direction,correct_first_only,correct_second_only,correct_difference,wrong_first_only,wrong_second_only,wrong_difference,indeterminate_first_only,indeterminate_second_only,indeterminate_difference
Newton,0,test,1,1.0,0.075,,80,fitted_grid,fitted_prior,2,325002001,information,envelope,full66,envelope,conditional66,clustered_correlated,1000,1000,first_minus_second,0,0,0.0,0,0,0.0,0,0,0.0
Newton,0,test,1,1.0,0.075,,80,fitted_grid,fitted_prior,2,325002001,information,envelope,full66,envelope,conditional66,sparse_floor,1000,1000,first_minus_second,0,0,0.0,0,0,0.0,0,0,0.0
Newton,0,test,1,1.0,0.075,,80,fitted_grid,fitted_prior,2,325002001,calibration,envelope,full66,baseline,full66,uniform_white,1000,1000,first_minus_second,0,0,0.0,0,0,0.0,0,0,0.0
Newton,0,test,1,1.0,0.075,,80,fitted_grid,fitted_prior,2,325002001,calibration,envelope,full66,baseline,full66,clustered_correlated,1000,1000,first_minus_second,0,0,0.0,0,0,0.0,0,0,0.0
Newton,0,test,1,1.0,0.075,,80,fitted_grid,fitted_prior,2,325002001,calibration,envelope,full66,baseline,full66,sparse_floor,1000,1000,first_minus_second,0,0,0.0,0,0,0.0,0,0,0.0
Newton,0,test,1,1.0,0.075,,80,fitted_grid,fitted_prior,2,325002001,calibration,envelope,no_diagnostics66,baseline,no_diagnostics66,uniform_white,1000,1000,first_minus_second,0,0,0.0,0,0,0.0,0,0,0.0
Newton,0,test,1,1.0,0.075,,80,fitted_grid,fitted_prior,2,325002001,calibration,envelope,no_diagnostics66,baseline,no_diagnostics66,clustered_correlated,1000,1000,first_minus_second,0,0,0.0,0,0,0.0,0,0,0.0
Newton,0,test,1,1.0,0.075,,80,fitted_grid,fitted_prior,2,325002001,calibration,envelope,no_diagnostics66,baseline,no_diagnostics66,sparse_floor,1000,1000,first_minus_second,0,0,0.0,0,0,0.0,0,0,0.0
Newton,0,test,1,1.0,0.075,,80,fitted_grid,fitted_prior,2,325002001,calibration,envelope,full34,baseline,full34,uniform_white,1000,1000,first_minus_second,0,0,0.0,0,0,0.0,0,0,0.0
Newton,0,test,1,1.0,0.075,,80,fitted_grid,fitted_prior,2,325002001,calibration,envelope,full34,baseline,full34,clustered_correlated,1000,1000,first_minus_second,0,0,0.0,0,0,0.0,0,0,0.0
Newton,0,test,1,1.0,0.075,,80,fitted_grid,fitted_prior,2,325002001,calibration,envelope,full34,baseline,full34,sparse_floor,1000,1000,first_minus_second,0,0,0.0,0,0,0.0,0,0,0.0
Newton,0,test,1,1.0,0.075,,80,fitted_grid,fitted_prior,2,325002001,calibration,envelope,covariates_only66,baseline,covariates_only66,uniform_white,1000,994,first_minus_second,0,5,-0.004999999999999999,0,1,-0.001,6,0,0.006000000000000005
Newton,0,test,1,1.0,0.075,,80,fitted_grid,fitted_prior,2,325002001,calibration,envelope,covariates_only66,baseline,covariates_only66,clustered_correlated,1000,992,first_minus_second,0,7,-0.007000000000000001,0,1,-0.001,8,0,0.008000000000000007
Newton,0,test,1,1.0,0.075,,80,fitted_grid,fitted_prior,2,325002001,calibration,envelope,covariates_only66,baseline,covariates_only66,sparse_floor,1000,987,first_minus_second,0,12,-0.012,0,1,-0.001,13,0,0.013000000000000012
Newton,0,test,1,1.0,0.075,,80,fitted_grid,fitted_prior,2,325002001,calibration,envelope,conditional66,baseline,conditional66,uniform_white,1000,1000,first_minus_second,0,0,0.0,0,0,0.0,0,0,0.0
Newton,0,test,1,1.0,0.075,,80,fitted_grid,fitted_prior,2,325002001,calibration,envelope,conditional66,baseline,conditional66,clustered_correlated,1000,1000,first_minus_second,0,0,0.0,0,0,0.0,0,0,0.0
Newton,0,test,1,1.0,0.075,,80,fitted_grid,fitted_prior,2,325002001,calibration,envelope,conditional66,baseline,conditional66,sparse_floor,1000,1000,first_minus_second,0,0,0.0,0,0,0.0,0,0,0.0
Newton,0,test,1,1.0,0.075,,60,fitted_grid,outside_inner_prior,3,325003001,information,baseline,full66,baseline,no_diagnostics66,uniform_white,1000,1000,first_minus_second,0,0,0.0,0,0,0.0,0,0,0.0
Newton,0,test,1,1.0,0.075,,60,fitted_grid,outside_inner_prior,3,325003001,information,baseline,full66,baseline,no_diagnostics66,clustered_correlated,1000,1000,first_minus_second,0,0,0.0,0,0,0.0,0,0,0.0
Newton,0,test,1,1.0,0.075,,60,fitted_grid,outside_inner_prior,3,325003001,information,baseline,full66,baseline,no_diagnostics66,sparse_floor,1000,1000,first_minus_second,0,0,0.0,0,0,0.0,0,0,0.0
Newton,0,test,1,1.0,0.075,,60,fitted_grid,outside_inner_prior,3,325003001,information,baseline,full66,baseline,full34,uniform_white,1000,997,first_minus_second,3,0,0.0030000000000000027,0,0,0.0,0,3,-0.003
Newton,0,test,1,1.0,0.075,,60,fitted_grid,outside_inner_prior,3,325003001,information,baseline,full66,baseline,full34,clustered_correlated,1000,999,first_minus_second,1,0,0.0010000000000000009,0,0,0.0,0,1,-0.001
Newton,0,test,1,1.0,0.075,,60,fitted_grid,outside_inner_prior,3,325003001,information,baseline,full66,baseline,full34,sparse_floor,1000,1000,first_minus_second,0,0,0.0,0,0,0.0,0,0,0.0
