gravity,hypothesis_index,role,realization,beta,f,eta,prior,beta_family,companion_family,local_case_index,seed,rule,mode,scenario,N_catalogues,N_parent,correct,wrong,indeterminate,both_retained,both_rejected,true_retained,raw_fitting_empty_fraction_mean,near_best_true_mean,near_best_other_mean,correct_rate,correct_wilson_lo,correct_wilson_hi,wrong_rate,wrong_wilson_lo,wrong_wilson_hi,indeterminate_rate,indeterminate_wilson_lo,indeterminate_wilson_hi,true_retained_rate,true_retained_wilson_lo,true_retained_wilson_hi,classification_count_pass,retention_count_pass,overall_count_pass,classification_confidence_pass,retention_confidence_pass,overall_confidence_pass,evaluation_family
Newton,0,test,1,1.0,0.225,,60,fitted_grid,outside_inner_prior,7,325007001,baseline,covariates_only66,clustered_correlated,1000,1000,25,3,972,972,0,997,0.0,13.059,14.386,0.025,0.016990131293434067,0.0366452892678433,0.003,0.0010207838811386186,0.008783014053503173,0.972,0.9598298168024069,0.9805577231872291,0.997,0.9912169859464969,0.9989792161188614,False,True,False,False,True,False,outside_inner_prior
Newton,0,test,1,1.0,0.225,,60,fitted_grid,outside_inner_prior,7,325007001,baseline,covariates_only66,sparse_floor,1000,1000,21,5,974,973,1,994,0.0,13.05,14.397,0.021,0.013775739567924286,0.03189029506123752,0.005,0.0021375355273244596,0.011650955373375113,0.974,0.9621761711573101,0.9821960617983837,0.994,0.9869718317581478,0.9972473308581237,False,True,False,False,False,False,outside_inner_prior
Newton,0,test,1,1.0,0.225,,60,fitted_grid,outside_inner_prior,7,325007001,envelope,covariates_only66,uniform_white,1000,1000,15,2,983,982,1,997,0.0,13.059,14.371,0.015,0.009110978804081668,0.024600976926906798,0.002,0.000548643588120728,0.007262807863492177,0.983,0.9729440411597701,0.9893593101431837,0.997,0.9912169859464969,0.9989792161188614,False,True,False,False,True,False,outside_inner_prior
Newton,0,test,1,1.0,0.225,,60,fitted_grid,outside_inner_prior,7,325007001,envelope,covariates_only66,clustered_correlated,1000,1000,17,1,982,982,0,999,0.0,13.059,14.386,0.017,0.010640689856816328,0.027055958840229925,0.001,0.00017654637062607809,0.0056425585979579355,0.982,0.9717267448294926,0.9885842599904322,0.999,0.9943574414020421,0.9998234536293739,False,True,False,False,True,False,outside_inner_prior
Newton,0,test,1,1.0,0.225,,60,fitted_grid,outside_inner_prior,7,325007001,envelope,covariates_only66,sparse_floor,1000,1000,11,2,987,986,1,997,0.0,13.05,14.397,0.011,0.006153174098086638,0.019589395700786275,0.002,0.000548643588120728,0.007262807863492177,0.987,0.9778855576244203,0.9923871796106489,0.997,0.9912169859464969,0.9989792161188614,False,True,False,False,True,False,outside_inner_prior
Newton,0,test,1,1.0,0.225,,160,fitted_grid,outside_inner_prior,8,325008001,baseline,covariates_only66,uniform_white,1000,1000,19,1,980,980,0,999,0.0,13.068,14.475,0.019,0.012196885750790904,0.02948445591231312,0.001,0.00017654637062607809,0.0056425585979579355,0.98,0.9693099947702822,0.987016317083585,0.999,0.9943574414020421,0.9998234536293739,False,True,False,False,True,False,outside_inner_prior
Newton,0,test,1,1.0,0.225,,160,fitted_grid,outside_inner_prior,8,325008001,baseline,covariates_only66,clustered_correlated,1000,1000,18,1,981,981,0,999,0.0,13.068,14.495,0.018,0.011415740009567788,0.028273255170507345,0.001,0.00017654637062607809,0.0056425585979579355,0.981,0.9705155440876868,0.9878031142492091,0.999,0.9943574414020421,0.9998234536293739,False,True,False,False,True,False,outside_inner_prior
Newton,0,test,1,1.0,0.225,,160,fitted_grid,outside_inner_prior,8,325008001,baseline,covariates_only66,sparse_floor,1000,1000,22,1,977,977,0,999,0.0,13.061,14.458,0.022,0.014572707764791058,0.03308567334739963,0.001,0.00017654637062607809,0.0056425585979579355,0.977,0.9657235493377733,0.9846257230670071,0.999,0.9943574414020421,0.9998234536293739,False,True,False,False,True,False,outside_inner_prior
Newton,0,test,1,1.0,0.225,,160,fitted_grid,outside_inner_prior,8,325008001,envelope,covariates_only66,uniform_white,1000,1000,14,0,986,986,0,1000,0.0,13.068,14.475,0.014,0.00835757513042392,0.02336203411753566,0.0,2.168404344971009e-19,0.0038267584855551234,0.986,0.9766379658824644,0.9916424248695761,1.0,0.996173241514445,1.0,False,True,False,False,True,False,outside_inner_prior
Newton,0,test,1,1.0,0.225,,160,fitted_grid,outside_inner_prior,8,325008001,envelope,covariates_only66,clustered_correlated,1000,1000,13,0,987,987,0,1000,0.0,13.068,14.495,0.013,0.0076128203893510256,0.022114442375579666,0.0,2.168404344971009e-19,0.0038267584855551234,0.987,0.9778855576244203,0.9923871796106489,1.0,0.996173241514445,1.0,False,True,False,False,True,False,outside_inner_prior
